,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity
1,0.221475809,0.152712119,0.148811803,0.121106413,-0.001629751,0.026188236,0.271278353
2,0.1964434,0.160505746,0.122981045,0.136572147,0.002085077,0.031725546,0.30800064
3,0.174659765,0.095056278,0.0807883,0.187737122,-0.001865297,0.004958913,0.334097846
4,0.213650791,0.068668233,0.099226503,0.170374312,-0.00075248,0.030429991,0.335526853
5,0.24378657,0.066312527,0.113988451,0.163859715,0.003111983,0.095547215,0.261033286
6,0.128517901,0.027250313,0.103897799,0.216333156,0.006914581,0.074414758,0.407637132
7,0.160766446,0.038730394,0.115049134,0.160793634,0.007605849,0.11210598,0.377070217
8,0.112795536,0.109433725,0.306772395,-0.011779211,-0.011052231,0.013413975,0.007660913
9,0.09736561,0.209726984,0.262018988,0.014957633,0.010051368,0.003668909,0.049420902
10,0.065963746,0.26795375,0.208150449,-0.006549772,0.001828667,0.001828667,0.03062132
11,0.036168638,0.333663373,0.253161671,0.08504211,0.006208677,0.025289703,0.07565202
12,0.032745216,0.290021717,0.25673134,0.07001448,0.008547178,0.011775475,0.114255479
13,0.03587345,0.204777951,0.329349033,0.065543031,0.029158623,0.042621225,0.130519471
14,0.096525555,0.115008814,0.370472965,0.055701525,0.042175353,0.089420395,0.128715199
15,0.120135288,0.071750075,0.364101801,0.022770274,0.041763312,0.123202406,0.099101768
16,0.103940406,0.021125098,0.351537294,0.023590807,0.033450543,0.186372378,0.071359634
17,0.267030724,0.009714743,0.34028471,0.004007323,0.010214665,0.244464521,0.002870297
18,0.408905294,-0.000161351,0.199475119,0.004122123,0.021688911,0.24313435,0.010552723
19,0.446909626,0.016846022,0.229042456,0.019404409,0.013309671,0.105148238,-0.001305167
20,0.605964895,0.008405174,0.208343425,0.01114751,0.009842927,0.075186247,-0.004139987
21,0.619552365,0.042174586,0.184233461,0.010423716,0.014652865,0.053387619,0.01375682
22,0.57387465,0.082202943,0.195891136,-0.000640181,0.004666602,0.054236516,0.026813716
23,0.452051929,0.099268923,0.162258589,0.005519121,0.000102666,0.028201091,0.066947237
24,0.200096953,0.14056473,0.146158758,0.026284919,-0.008793433,0.034637683,0.185134904
