,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity,temp_average,hdd_results,hdd_10C_results,cdd_results,daily_average_max_temperature,daily_average_min_temperature
0,6.85574401744159,1.1578086944898305,0.36505285835128365,1698553.231611888,0.20868053776093956,22.279669578065693,2.3930722611045554,2.1125,2719.5,1325.1,0.0,3.9,0.08571428571428572
1,11.897104149804179,1.1578086944898305,0.36505285835128365,1698553.231611888,0.20868053776093956,22.279669578065693,2.3930722611045554,2.1226190476190476,2717.8,1323.4,0.0,3.9142857142857146,0.08571428571428572
2,6.85574401744159,0.8866707504664351,0.36505285835128365,1698553.231611888,0.20868053776093956,22.279669578065693,2.3930722611045554,2.0648809523809524,2727.5,1333.1,0.0,3.8571428571428577,0.02857142857142861
3,6.85574401744159,1.1578086944898305,0.41936958837761135,1698553.231611888,0.20868053776093956,22.279669578065693,2.3930722611045554,2.142857142857143,2714.4,1320.0,0.0,3.9285714285714284,0.1
4,6.85574401744159,1.1578086944898305,0.36505285835128365,2151787.674276755,0.20868053776093956,22.279669578065693,2.3930722611045554,2.080357142857143,2724.9000000000005,1330.5,0.0,3.842857142857143,0.05714285714285711
5,6.85574401744159,1.1578086944898305,0.36505285835128365,1698553.231611888,0.1929133339421404,22.279669578065693,2.3930722611045554,2.1125,2719.5,1325.1,0.0,3.9,0.08571428571428572
6,6.85574401744159,1.1578086944898305,0.36505285835128365,1698553.231611888,0.20868053776093956,24.5087705691505,2.3930722611045554,2.1136904761904765,2719.3,1324.9,0.0,3.9,0.08571428571428572
7,6.85574401744159,1.1578086944898305,0.36505285835128365,1698553.231611888,0.20868053776093956,22.279669578065693,2.422814644082857,2.111309523809524,2719.7000000000003,1325.3000000000002,0.0,3.9,0.08571428571428572
8,6.85574401744159,0.8866707504664351,0.41936958837761135,2151787.674276755,0.1929133339421404,24.5087705691505,2.422814644082857,2.0607142857142855,2728.2000000000003,1333.8000000000002,0.0,3.842857142857143,0.04285714285714285
9,11.897104149804179,1.1578086944898305,0.41936958837761135,2151787.674276755,0.1929133339421404,24.5087705691505,2.422814644082857,2.1208333333333336,2718.1000000000004,1323.7,0.0,3.9,0.07142857142857141
10,11.897104149804179,0.8866707504664351,0.36505285835128365,2151787.674276755,0.1929133339421404,24.5087705691505,2.422814644082857,2.044047619047619,2731.0,1336.6,0.0,3.814285714285714,-5.15460690004537e-17
11,11.897104149804179,0.8866707504664351,0.41936958837761135,1698553.231611888,0.1929133339421404,24.5087705691505,2.422814644082857,2.1041666666666665,2720.9,1326.5,0.0,3.9,0.08571428571428572
12,11.897104149804179,0.8866707504664351,0.41936958837761135,2151787.674276755,0.20868053776093956,24.5087705691505,2.422814644082857,2.0708333333333333,2726.5,1332.1,0.0,3.842857142857143,0.05714285714285711
13,11.897104149804179,0.8866707504664351,0.41936958837761135,2151787.674276755,0.1929133339421404,22.279669578065693,2.422814644082857,2.0696428571428576,2726.7,1332.3,0.0,3.842857142857143,0.05714285714285711
14,11.897104149804179,0.8866707504664351,0.41936958837761135,2151787.674276755,0.1929133339421404,24.5087705691505,2.3930722611045554,2.0708333333333333,2726.5,1332.1,0.0,3.842857142857143,0.05714285714285711
15,11.897104149804179,0.8866707504664351,0.41936958837761135,2151787.674276755,0.1929133339421404,24.5087705691505,2.422814644082857,2.0702380952380954,2726.6000000000004,1332.1999999999998,0.0,3.842857142857143,0.05714285714285711
16,15.275545138994286,1.6214581008380797,0.4161781947574139,2110323.1034651203,0.17166515483182068,15.342185849964428,1.815119278578442,2.213095238095238,2702.6000000000004,1308.1999999999998,0.0,3.957142857142857,0.20000000000000004
17,19.051092350997166,1.6214581008380797,0.4161781947574139,2110323.1034651203,0.17166515483182068,15.342185849964428,1.815119278578442,2.2232142857142856,2700.9,1306.5,0.0,3.971428571428571,0.21428571428571433
18,15.275545138994286,1.3908193644255644,0.4161781947574139,2110323.1034651203,0.17166515483182068,15.342185849964428,1.815119278578442,2.1797619047619046,2708.2,1313.8,0.0,3.957142857142857,0.14285714285714296
19,15.275545138994286,1.6214581008380797,0.367567279599068,2110323.1034651203,0.17166515483182068,15.342185849964428,1.815119278578442,2.1809523809523808,2708.0,1313.6,0.0,3.957142857142857,0.14285714285714296
20,15.275545138994286,1.6214581008380797,0.4161781947574139,1746818.3412181742,0.17166515483182068,15.342185849964428,1.815119278578442,2.2434523809523808,2697.5,1303.1,0.0,4.028571428571429,0.22857142857142856
21,15.275545138994286,1.6214581008380797,0.4161781947574139,2110323.1034651203,0.16051578729745394,15.342185849964428,1.815119278578442,2.213095238095238,2702.6000000000004,1308.1999999999998,0.0,3.957142857142857,0.20000000000000004
22,15.275545138994286,1.6214581008380797,0.4161781947574139,2110323.1034651203,0.17166515483182068,17.61114005548057,1.815119278578442,2.213690476190476,2702.5,1308.1,0.0,3.957142857142857,0.20000000000000004
23,15.275545138994286,1.6214581008380797,0.4161781947574139,2110323.1034651203,0.17166515483182068,15.342185849964428,1.8316581474620652,2.213095238095238,2702.6000000000004,1308.1999999999998,0.0,3.957142857142857,0.20000000000000004
24,15.275545138994286,1.3908193644255644,0.367567279599068,1746818.3412181742,0.16051578729745394,17.61114005548057,1.8316581474620652,2.1738095238095236,2709.2,1314.8000000000002,0.0,3.9714285714285715,0.14285714285714296
25,19.051092350997166,1.6214581008380797,0.367567279599068,1746818.3412181742,0.16051578729745394,17.61114005548057,1.8316581474620652,2.2154761904761906,2702.2,1307.8,0.0,3.985714285714286,0.20000000000000004
