,,,All Values Hourly - First Order,,,,,,,,,,,,,,,,,,,,
20,0.266360232,0.010001679,0.354695991,-0.002235144,0.001089603,0.007536323,0.007335665,-0.001060342,0.085142747,-0.002580404,-0.006526043,-0.005947515,-0.009106153,0.045694405,0.00305734,-3.74E-05,-0.002042771,-0.003722184,-0.002755561,0.017455859,0.000146307,0.004879652,0.00577506
21,0.240522145,0.012192272,0.290522375,-0.003479261,-0.000939197,-0.013119492,0.00455344,0.003844765,0.073142529,0.002412122,-0.001254317,-0.00934888,-0.007141979,0.038824215,-0.017737105,0.002136564,-0.012145267,-0.004917692,-0.005419832,-0.019536784,-0.015957631,-0.008267759,-0.003837009
22,0.165779712,0.170621478,0.269896004,-0.01019052,-0.003654799,0.017645551,0.011877617,-0.005588462,0.068287541,-0.000669135,-0.002868823,-0.011261774,0.001851918,0.030980686,-0.014064355,-0.004925766,0.004340209,0.015497876,0.016280181,0.002176752,0.015558315,-0.011344787,-0.007630825
23,0.068133067,0.339836742,0.188556517,0.00616777,-0.004502149,-0.004345125,0.020345758,0.004135669,0.003585179,-0.0060213,0.000976884,-0.017042182,-0.007272178,0.014803085,-0.013921093,0.000890754,-0.013227505,-0.020991438,0.002741082,-0.024159838,-0.034386266,-0.01326638,0.00098795
24,0.056852958,0.486596516,0.158573117,-0.006509093,-0.008979199,-0.001016022,0.01452683,0.00377552,0.000206711,-0.011047762,-0.001475894,-0.022555115,-0.015124464,0.012687477,-0.018172946,-0.002093241,-0.016871493,-0.016580775,0.003829197,-0.006026684,0.001244101,-0.012157856,-0.011762038
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
