,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity
0,0.14756258234519096,0.13702239789196383,0.27404479578392676,0.08432147562582365,0.0,0.0,0.0
1,0.42052565707133893,0.2002503128911141,0.19023779724655818,0.08010012515644581,0.0,0.0,0.0
2,0.1420765027322401,0.43715846994535473,0.6775956284153004,0.09836065573770483,0.0,0.05464480874316957,0.03278688524590175
3,0.22928608650338714,0.17092235539343412,0.38770192808754556,0.058363731109953194,0.0,0.9504950495049488,0.2084418968212611
4,0.541411895497499,0.014452473596442496,0.18899388549193977,0.013340744858254656,0.0,0.3212896053362979,0.40133407448582525
5,0.5585111975607194,0.07149616233834491,0.5938387130690777,0.062243717800441516,0.0008411313216275991,0.16990852696877287,0.0025233939648827953
6,0.48306772908366497,0.18426294820717135,0.4750996015936254,0.4830677290836651,0.0,0.872509960159362,0.4063745019920316
7,0.1818181818181822,0.14545454545454536,0.20363636363636325,0.10181818181818181,0.0,0.0,0.021818181818181667
8,0.4615384615384625,0.08205128205128145,0.10256410256410325,0.10256410256410325,0.0,0.0,0.010256410256410345
9,0.2023809523809524,0.38095238095238076,0.4999999999999998,0.02380952380952386,0.0,0.047619047619047616,0.0
10,1.1118644067796597,0.05423728813559299,0.3254237288135579,0.05423728813559215,0.0,0.05423728813559298,0.027118644067796488
11,0.8999999999999952,0.10000000000000497,0.25,0.05000000000000246,0.0,0.05000000000000246,0.05000000000000246
12,0.5384615384615451,0.5,0.4615384615384549,0.0,0.0,0.03846153846154029,0.0
13,0.3478260869565219,0.6956521739130438,0.6956521739130483,0.03864734299516989,0.0,0.03864734299516989,0.0
14,0.8658008658008561,0.03463203463203406,0.7272727272727219,0.06926406926406599,0.03463203463203191,0.20779220779220442,0.10389610389610004
15,0.6567164179104397,0.05970149253731354,0.3283582089552208,0.0,0.0,0.05970149253731354,0.0
16,0.47500000000001963,0.04999999999999837,0.4249999999999963,0.0,0.0,0.02499999999999684,0.0
17,0.7682119205297965,0.06622516556291473,0.7019867549668932,0.013245033112583604,0.0,0.1324503311258262,0.0
18,1.002930641484858,0.05210029306414887,0.43503744708564135,0.005210029306414815,0.0,0.0234451318788675,0.023445131878866682
19,0.5714285714285705,0.6487394957983195,0.7596638655462178,0.016806722689075678,0.030252100840335843,0.3932773109243676,0.030252100840335843
20,1.4558558558558519,0.5261261261261269,0.19819819819819734,0.19459459459459402,0.0,0.0,0.0
21,0.2319801159900588,0.530240265120133,0.6164043082021565,0.05302402651201379,0.0,0.4043082021541021,0.006628003314001621
22,1.0516431924882563,0.31298904538341454,0.11267605633802792,0.1001564945226908,0.0,0.0,0.01251956181533635
23,0.7500000000000001,0.16666666666666533,0.36666666666666914,0.13333333333333328,0.0,0.0,0.0
