5,"	2.88","	14.4","	1.38",0.39,2.7,542.9,111,0.169750726,
5,"	2.88","	14.4","	0.67",0.39,2.9,412.73,141.68,0.255550946,
6,"	2.86","	17.16","	0.35",0.38,2,509.04,241.28,0.321569464,
7,"	2.96","	20.72","	0.42",0.37,2.6,782.16,318.22,0.289191007,
5,"	3","	15","	1.41",0.44,3,622.31,188.04,0.232047881,
6,"	2.8","	16.8","	0.49",0.43,2.7,652.49,95.06,0.127162063,
6,"	2.95","	17.7","	0.69",0.44,2.9,1.041.40,159.61,#VALUE!,
5,"	2.82","	14.1","	1.86",0.47,2.7,645.44,134.38,0.172321818,
5,"	2.86","	14.3","	0.63",0.53,2.7,709.39,128.7,0.15356346,
6,"	2.72","	16.32","	0.45",1.54,1.31,740.04,74.04,0.090949292,
5,"	3","	15","	0.5",0.36,2.5,486.05,178.27,0.268349591,
6,"	3","	18","	0.62",0.45,3.3,149.74,171.7,0.534158785,
6,"	2.85","	17.1","	1.56",0.58,2.9,634.75,208.95,0.247659121,
6,"	3.08","	18.48","	0.4",0.54,2.7,710.32,346.65,0.327965789,
6,"	3","	18","	1.44",0.45,2.9,531.38,209.61,0.282878311,
5,"	2.86","	14.3","	0",0.39,2.7,0,136.7,1,
6,"	3.03","	18.18",0.49,0.43,3,603.58,111.14,0.155501455,
6,"	3","	18",0.46,0.52,2.7,602.29,158.04,0.207857115,
7,"	2.84","	19.88",0.45,1.28,2.9,793.79,105.32,0.117138059,
5,"	2.94","	14.7",1.68,0.44,2.9,834.43,188.45,0.18423471,
4,"	2.83","	11.32",1.29,0.66,2.9,565.17,119.67,0.174741545,
3,"	2.8","	8.4",1.44,0.44,2.9,327.64,84.48,0.204988838,
5,"	2.8","	14",1.2,0.43,2.9,425.49,165,0.279428949,
5,"	2.92","	14.6",0.36,0.4,1.85,502.77,191.71,0.276048266,
6,"	2.77","	16.62",0.49,0.51,2.9,595.36,158.28,0.2100207,
6,"	2.7","	16.2",0.68,0.39,2.7,748.79,99.77,0.117575658,
5,"	2.8","	14",0.45,0.36,2.5,763.23,171.87,0.183798524,
6,"	2.92","	17.52",1.44,0.44,2.9,812.41,325.03,0.285755732,
5,"	2.76",13.8,1.07,0.4,2.9,933.89,200.4,0.176674395,
5,"	2.78",13.9,1.48,0.43,2.7,673.87,89.84,0.117636276,
6,"	3",18,1.23,0.32,2.7,666.21,416.29,0.38456351,
5,"	3",15,1.99,0.39,2.7,520.35,178.05,0.254939863,
5,"	3",15,0.61,0.32,2.5,589.79,263.2,0.308561648,
3,"	3.33",9.99,0.47,0.3,2.9,356.47,67.93,0.160061263,
5,"	2.8",14,1.46,0.43,2.9,413.22,239.28,0.366712644,
6,"	2.6",15.6,0.35,0.37,2.6,601.73,109.32,0.153744462,
5,"	3.15",15.75,0.42,0.39,2.7,609.75,210.19,0.256348025,
5,"	2.8",14,1.25,0.44,2.9,584.21,127.61,0.17927285,
5,"	2.86",14.3,1.34,0.39,2.7,610.42,224.9,0.269238136,
5,"	2.8",14,0.49,0.43,2.9,562.32,101.97,0.153502235,
