,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value,,,,,,,,,,,,,,,,,,,
15,-0.008462191,0.084756901,0.039594972,0.019911207,0.360919909,0,0.098035866,0.002310538,0.000678397,-0.000480877,0.002208829,-0.002631826,0.000432971,-0.002336529,0.00216289,-0.003721279,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778,0.593379778
16,0.085453136,0.166157135,0.093614823,-0.001211821,0.43320025,0,0.17978928,-0.001486314,-0.000201616,-0.000138578,-0.001254644,-0.002612218,0.003501669,-0.000952219,0.000760711,0.000783588,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182,0.955403182
17,0.112646453,0.177438103,0.082600007,0.00040693,0.402747146,0,0.167973306,0.000334705,-0.000371924,2.47E-05,-4.39E-05,-0.000491647,-0.000350842,-0.000202489,-0.000830517,0.000522489,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252,0.94240252
18,0.137494118,0.19220141,0.086787019,0.000947747,0.40572716,0,0.163266015,0.001376579,0.001765552,0.000252074,0.003239846,-0.000374386,-0.000467343,-0.00072247,0.000323666,0.003220679,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666,0.995037666
19,0.120557829,0.206763158,0.086037312,-0.000249386,0.408107222,0,0.147250491,0.000636353,7.36E-05,1.21E-05,0.000621756,1.99E-05,-0.000954995,-0.000387433,-0.000783096,0.000584022,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833,0.968288833
20,0.113126179,0.203812908,0.079998305,-0.000206835,0.390207817,0,0.130088966,0.002049508,0.003331497,0.000251116,0.003198091,-1.98E-05,0.005042134,-0.00122547,0.000303931,0.001800727,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074,0.931759074
21,0.134387066,0.211495712,0.085232456,0.000397354,0.40979742,0,0.13725598,0.001849142,0.001043819,9.10E-05,-0.000897915,0.000441191,0.005408118,0.000353037,0.003273584,0.000603587,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551,0.990731551
22,0.13314481,0.201528133,0.091804367,0.000290978,0.416179051,0,0.13010745,0.001092889,-0.000414502,0.000555399,-0.000206103,2.54E-05,0.002395325,0.000378149,0.002435735,0.000775354,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435,0.980092435
23,0.127024622,0.213001094,0.091699281,0.000165625,0.407914506,0,0.123899043,0.002146029,0.001348632,-5.66E-05,0.0016038,0.0002593,0.002942362,0.001004243,0.000857372,0.002898815,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124,0.976708124
24,0.123683795,0.216704465,0.095329102,-0.000105978,0.404123859,0,0.134085622,5.97E-05,-0.001416515,-0.001809485,-0.000381045,-0.000445958,-0.000176067,-0.001566932,-0.000885168,0.001503591,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986,0.968702986
